{'r_arm': 166},{'l_arm': 169},{'r_leg': 151},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 130},{'r_hip': 175},{'l_hip': 113},hold
{'r_arm': 166},{'l_arm': 168},{'r_leg': 152},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 130},{'r_hip': 175},{'l_hip': 113},hold
{'r_arm': 166},{'l_arm': 168},{'r_leg': 152},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 130},{'r_hip': 175},{'l_hip': 113},hold
{'r_arm': 166},{'l_arm': 168},{'r_leg': 152},{'l_leg': 79},{'r_shoulder': 68},{'l_shoulder': 130},{'r_hip': 175},{'l_hip': 113},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 152},{'l_leg': 79},{'r_shoulder': 68},{'l_shoulder': 130},{'r_hip': 175},{'l_hip': 114},hold
{'r_arm': 166},{'l_arm': 168},{'r_leg': 153},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 130},{'r_hip': 175},{'l_hip': 114},hold
{'r_arm': 166},{'l_arm': 168},{'r_leg': 153},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 175},{'l_hip': 114},hold
{'r_arm': 166},{'l_arm': 168},{'r_leg': 152},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 175},{'l_hip': 114},hold
{'r_arm': 166},{'l_arm': 168},{'r_leg': 153},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 175},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 153},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 175},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 153},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 175},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 152},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 175},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 152},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 175},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 152},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 175},{'l_hip': 114},hold
{'r_arm': 165},{'l_arm': 168},{'r_leg': 152},{'l_leg': 79},{'r_shoulder': 69},{'l_shoulder': 129},{'r_hip': 175},{'l_hip': 114},hold
